simulation,investor 0,investor 1,investor 2,investor 3,investor 4,investor 5,investor 6,investor 7,investor 8,investor 9,investor 10,investor 11,investor 12,investor 13,investor 14,investor 15,investor 16,investor 17,investor 18,investor 19,investor 20,investor 21,investor 22,investor 23,investor 24,investor 25,investor 26,investor 27,investor 28,investor 29,investor 30,investor 31,investor 32,investor 33,investor 34,investor 35,investor 36,investor 37,investor 38,investor 39,investor 40,investor 41,investor 42,investor 43,investor 44,investor 45,investor 46,investor 47,investor 48,investor 49,investor 50,investor 51,investor 52,investor 53,investor 54,investor 55,investor 56,investor 57,investor 58,investor 59,investor 60,investor 61,investor 62,investor 63,investor 64,investor 65,investor 66,investor 67,investor 68,investor 69,investor 70,investor 71,investor 72,investor 73,investor 74,investor 75,investor 76,investor 77,investor 78,investor 79,investor 80,investor 81,investor 82,investor 83,investor 84,investor 85,investor 86,investor 87,investor 88,investor 89,investor 90,investor 91,investor 92,investor 93,investor 94,investor 95,investor 96,investor 97,investor 98,investor 99,investor 100,investor 101,investor 102,investor 103,investor 104,investor 105,investor 106,investor 107,investor 108,investor 109,investor 110,investor 111,investor 112,investor 113,investor 114,investor 115,investor 116,investor 117,investor 118,investor 119,investor 120,investor 121,investor 122,investor 123,investor 124,investor 125,investor 126,investor 127,investor 128,investor 129,investor 130,investor 131,investor 132,investor 133,investor 134,investor 135,investor 136,investor 137,investor 138,investor 139,investor 140,investor 141,investor 142,investor 143,investor 144,investor 145,investor 146
1,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1056.028963,1081.015983,1098.053609,1241.504503,1241.504503,1241.504503,1241.504503,1241.504503,1241.504503,1241.504503,1241.504503,1241.504503,1150.820659,1280.453852,1782.819645,1977.856131,1972.046455,1972.046455,1972.046455,1972.046455,1972.046455,1972.046455,1972.046455,1972.046455,1552.414913,1960.031127,2402.310963,1977.392095,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,2747.164550,2308.827991,2035.485857,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,2308.827991,2035.485857,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,2035.485857,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881,1966.080881
2,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1124.287563,1146.789011,1274.413004,1274.413004,1274.413004,1274.413004,1274.413004,1274.413004,1274.413004,1274.413004,1274.413004,1274.413004,1449.971883,1537.573434,1891.001694,2071.729184,2071.729184,2071.729184,2071.729184,2071.729184,2071.729184,2071.729184,2071.729184,2071.729184,1465.634675,1566.739502,1977.748434,2116.098167,2116.098167,2116.098167,2116.098167,2116.098167,2116.098167,2116.098167,2116.098167,2116.098167,1488.397404,1582.688855,1999.567386,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,1968.869365,2435.777110,2596.606953,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,3453.101304,2794.177935,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2848.727909,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022,2127.026022
3,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1110.892839,1133.570865,1148.421466,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1110.892839,1133.570865,1148.421466,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1267.837143,1356.138993,1525.008656,1589.623077,2097.299751,2097.299751,2097.299751,2097.299751,2097.299751,2097.299751,2097.299751,2097.299751,2097.299751,1381.664948,1549.795006,1899.196654,2063.972214,2063.972214,2063.972214,2063.972214,2063.972214,2063.972214,2063.972214,2063.972214,2063.972214,1931.970125,2346.725327,2315.322022,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2922.427490,2402.813231,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2372.519994,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238,2032.701238
4,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1350.511876,1528.668036,1777.614833,1929.723073,2026.173572,2026.173572,2026.173572,2026.173572,2026.173572,2026.173572,2026.173572,2026.173572,1382.282101,1558.826199,1816.188280,2123.027207,2083.119341,2083.119341,2083.119341,2083.119341,2083.119341,2083.119341,2083.119341,2083.119341,1421.770065,1581.560592,1845.915759,2141.813793,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2117.150447,2492.408552,2619.655743,2210.941391,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,3537.008392,2521.774697,2220.615448,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2542.218794,2220.615448,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2220.615448,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334,2087.716334
5,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1090.931614,1143.192682,1158.713038,1257.850002,1237.882090,1237.882090,1237.882090,1237.882090,1237.882090,1237.882090,1237.882090,1237.882090,1346.299440,1634.017869,1695.990381,2173.467346,2104.979714,2104.979714,2104.979714,2104.979714,2104.979714,2104.979714,2104.979714,2104.979714,1371.982513,1662.344646,1877.032850,2115.376333,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,1962.697999,2622.669468,2261.001664,2115.376333,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,3217.461183,2593.549841,2137.348415,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2593.549841,2137.348415,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2137.348415,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939,2068.096939
6,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1097.179305,1145.323397,1172.027947,1247.635028,1247.635028,1247.635028,1247.635028,1247.635028,1247.635028,1247.635028,1247.635028,1247.635028,1356.608074,1637.513017,1831.892970,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,1356.608074,1637.513017,1831.892970,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,1872.651246,2474.632657,2523.101965,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,3278.566816,2816.368688,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2556.312971,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455,2119.759455
7,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1153.209850,1172.913373,1215.276771,1351.442669,1351.442669,1351.442669,1351.442669,1351.442669,1351.442669,1351.442669,1351.442669,1351.442669,1524.692875,1597.447672,1917.440895,2369.340558,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,1524.692875,1597.447672,1917.440895,2369.340558,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,1524.692875,1597.447672,1917.440895,2369.340558,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,2506.028994,1542.628529,1685.391339,2136.179199,2317.497952,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,1803.937228,2377.004801,2524.651355,2317.497952,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,3473.009362,2767.194592,2418.103320,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2747.579178,2490.893034,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2490.893034,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329,2232.979329
8,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1043.795789,1064.052820,1095.261415,1178.173314,1216.186638,1216.186638,1216.186638,1216.186638,1216.186638,1216.186638,1216.186638,1216.186638,1152.144475,1397.052691,1662.173956,1856.540570,1950.847699,1950.847699,1950.847699,1950.847699,1950.847699,1950.847699,1950.847699,1950.847699,1463.400895,1960.532461,2018.811846,1965.144014,1905.482263,1905.482263,1905.482263,1905.482263,1905.482263,1905.482263,1905.482263,1905.482263,2897.857888,2491.758785,2038.799711,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,2472.127805,2038.799711,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,2038.799711,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635,1849.443635
9,1289.035765,1336.494107,1360.265861,1579.261640,1579.261640,1579.261640,1579.261640,1579.261640,1579.261640,1579.261640,1579.261640,1579.261640,1818.713328,2001.111584,2446.397822,2882.806650,2882.806650,2882.806650,2882.806650,2882.806650,2882.806650,2882.806650,2882.806650,2882.806650,1803.592952,1988.302796,2616.011627,2945.078236,2828.333823,2828.333823,2828.333823,2828.333823,2828.333823,2828.333823,2828.333823,2828.333823,1785.023903,1994.187280,2623.642042,2914.192461,2813.019622,2813.019622,2813.019622,2813.019622,2813.019622,2813.019622,2813.019622,2813.019622,1774.203332,1987.378635,2652.891142,2874.211058,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,1774.203332,1987.378635,2652.891142,2874.211058,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,1774.203332,1987.378635,2652.891142,2874.211058,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2426.321787,3207.792537,3477.398496,2874.211058,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,4316.558409,3809.577053,2925.874421,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,3795.656038,2925.874421,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2925.874421,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226,2803.911226
10,1209.862366,1289.702504,1379.132140,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1209.862366,1289.702504,1379.132140,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1209.862366,1289.702504,1379.132140,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1209.862366,1289.702504,1379.132140,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1487.143522,1525.211359,1765.881771,2039.184037,2474.859814,2474.859814,2474.859814,2474.859814,2474.859814,2474.859814,2474.859814,2474.859814,2474.859814,1509.709237,1742.317195,2151.051590,2293.092277,2293.092277,2293.092277,2293.092277,2293.092277,2293.092277,2293.092277,2293.092277,2293.092277,1524.664433,1809.240920,2157.385847,2254.265748,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,1693.857108,2334.809248,2407.059839,2254.265748,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,3467.742692,2557.181759,2284.770175,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2631.093759,2284.770175,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2284.770175,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179,2209.634179
